"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
23267-01-019,Jiyé 019,Mount Lebanon,Chouf,Jiyé,Jeye,33.66345978,35.4249115,IS- Informal Settlement,Less than 4,3,17,12/14/16,PU-AMI,Sixth Update - 2016,12/17/15,6/1/12,2,2000,1,5,Borehole,Municipality Collection,Municipality sewer network / not treated,Verbal,Wifi  / local Internet service provider,No,Yes
23267-01-020,Jiyé 020,Mount Lebanon,Chouf,Jiyé,jeye,33.66453171,35.42387009,IS- Informal Settlement,Less than 4,2,9,12/14/16,PU-AMI,Sixth Update - 2016,12/17/15,10/1/13,0,1000,1,3,Borehole,Municipality Collection,Open pit,Verbal,Wifi  / local Internet service provider,No,No
23267-01-021,Jiyé 021,Mount Lebanon,Chouf,Jiyé,jeye,33.67210007,35.41955948,IS- Informal Settlement,Active,7,36,12/15/16,PU-AMI,Sixth Update - 2016,1/11/16,12/1/11,2,9000,5,34,Water Network,Burn it,Holding tank,Verbal,Mobile network - 3G / 4G,Yes,No
23267-01-022,Jiyé 022,Mount Lebanon,Chouf,Jiyé,Jiye,33.66965103,35.42192841,IS- Informal Settlement,Less than 4,2,8,12/14/16,PU-AMI,Sixth Update - 2016,2/17/16,1/1/15,0,1000,0,0,Well,Burn it,Open pit,Verbal,Wifi  / local Internet service provider,No,Yes
23267-01-023,Jiyé 023,Mount Lebanon,Chouf,Jiyé,Jeye,33.67322922,35.41960907,IS- Informal Settlement,Less than 4,3,17,12/15/16,PU-AMI,Sixth Update - 2016,3/1/16,1/1/12,3,5000,2,9,Borehole,Dump it outside the camp,Open pit,Verbal,Mobile network - 3G / 4G,Yes,No
23267-01-024,Jiyé 024,Mount Lebanon,Chouf,Jiyé,jiyé 024,33.68321991,35.42324066,IS- Informal Settlement,Less than 4,1,2,12/14/16,PU-AMI,Sixth Update - 2016,5/10/16,1/30/16,1,1000,1,4,Well,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,No,No
23267-01-025,Jiyé 025,Mount Lebanon,Chouf,Jiyé,Jiyeh,33.66519928,35.42105103,IS- Informal Settlement,Less than 4,1,4,12/14/16,PU-AMI,Sixth Update - 2016,6/1/16,11/1/15,0,1000,0,0,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,No,Yes
23267-01-026,Jiyé 026,Mount Lebanon,Chouf,Jiyé,jiyé 026,33.67774963,35.42131042,IS- Informal Settlement,Inactive,0,0,12/14/16,PU-AMI,Sixth Update - 2016,6/1/16,7/27/12,0,0,0,0,,,,,,,
23267-01-027,Jiyé 027,Mount Lebanon,Chouf,Jiyé,Jiye,33.68463135,35.42424011,IS- Informal Settlement,Inactive,0,0,12/14/16,PU-AMI,Sixth Update - 2016,6/3/16,6/1/16,0,0,0,0,,,,,,,
23267-01-028,Jiyé 028,Mount Lebanon,Chouf,Jiyé,Jiye,33.68453979,35.42692947,IS- Informal Settlement,Less than 4,2,11,12/14/16,PU-AMI,Sixth Update - 2016,6/3/16,10/2/11,0,1000,0,0,Well,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,No,No
23267-01-029,Jiyé 029,Mount Lebanon,Chouf,Jiyé,Jiye 029,33.67393112,35.4254303,IS- Informal Settlement,Less than 4,3,8,12/14/16,PU-AMI,Sixth Update - 2016,8/10/16,9/1/12,2,1000,2,11,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,No,No
23267-01-030,Jiyé 030,Mount Lebanon,Chouf,Jiyé,Jieh,33.67676926,35.42049026,IS- Informal Settlement,Less than 4,2,15,12/14/16,PU-AMI,Sixth Update - 2016,8/12/16,8/1/16,0,0,0,0,Well,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,No
23267-01-031,Jiyé 031,Mount Lebanon,Chouf,Jiyé,New IS,33.6794281,35.42536926,IS- Informal Settlement,Active,5,27,12/15/16,PU-AMI,Sixth Update - 2016,12/15/16,10/15/12,0,0,2,13,River,Burn it,Open pit,Verbal,Wifi  / local Internet service provider,No,No
23311-01-002,Aalmane Ech-Chouf 002,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane al dayaa 2,33.59973907,35.41222,IS- Informal Settlement,Active,9,50,12/9/16,PU-AMI,Sixth Update - 2016,4/1/14,6/23/12,2,11000,1,5,Water Trucking,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23311-01-003,Aalmane Ech-Chouf 003,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalman el chouf ,33.58499146,35.40581131,IS- Informal Settlement,Less than 4,2,9,12/1/16,PU-AMI,Sixth Update - 2016,7/15/14,12/6/11,2,1000,3,11,Well,Municipality Collection,Cesspit,Verbal,Wifi  / local Internet service provider,Yes,Yes
