"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
53284-01-067,Youmine 067,Bekaa,Baalbek,Youmine,,34.12779999,36.23180008,IS- Informal Settlement,Less than 4,3,23,11/30/16,Medair,Sixth Update - 2016,3/10/16,1/10/16,2,1000,0,0,Borehole,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
53284-01-068,Youmine 068,Bekaa,Baalbek,Youmine,,34.12979889,36.23509979,IS- Informal Settlement,Inactive,0,0,11/30/16,Medair,Sixth Update - 2016,3/10/16,1/10/16,0,0,0,0,,,,,,,
53284-01-069,Youmine 069,Bekaa,Baalbek,Youmine,,34.10615921,36.23049927,IS- Informal Settlement,Active,5,16,11/9/16,Medair,Sixth Update - 2016,5/31/16,8/8/15,3,3000,0,0,Borehole,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
53284-01-070,Youmine 070,Bekaa,Baalbek,Youmine,,34.09880829,36.21865082,IS- Informal Settlement,Less than 4,2,21,11/9/16,Medair,Sixth Update - 2016,10/25/16,8/25/16,1,0,0,0,Borehole,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
53284-01-071,Youmine 071,Bekaa,Baalbek,Youmine,,34.10329056,36.22409821,IS- Informal Settlement,Less than 4,1,10,11/8/16,Medair,Sixth Update - 2016,11/8/16,9/30/16,0,0,1,8,Water Network,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
53284-01-072,Youmine 072,Bekaa,Baalbek,Youmine,,34.10259628,36.22338486,IS- Informal Settlement,Less than 4,1,4,11/8/16,Medair,Sixth Update - 2016,11/8/16,9/30/16,0,0,0,0,Borehole,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
53284-01-073,Youmine 073,Bekaa,Baalbek,Youmine,,34.13100052,36.27096939,IS- Informal Settlement,Active,7,39,11/9/16,Medair,Sixth Update - 2016,11/9/16,9/30/16,3,4000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
53311-01-004,Deir El-Ahmar 004,Bekaa,Baalbek,Deir El-Ahmar,Deir el Ahmar Baidar,34.12039948,36.13539886,IS- Informal Settlement,Inactive,0,0,11/16/16,Medair,Sixth Update - 2016,4/23/14,2/26/13,0,0,0,0,,,,,,,
53311-01-005,Deir El-Ahmar 005,Bekaa,Baalbek,Deir El-Ahmar,,34.10559845,36.13069916,IS- Informal Settlement,Active,18,88,11/14/16,Medair,Sixth Update - 2016,4/23/14,12/19/11,11,21000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-006,Deir El-Ahmar 006,Bekaa,Baalbek,Deir El-Ahmar,,34.09090042,36.12791061,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,4/23/14,1/19/13,0,0,0,0,,,,,,,
53311-01-007,Deir El-Ahmar 007,Bekaa,Baalbek,Deir El-Ahmar,,34.11246872,36.13304901,IS- Informal Settlement,Active,5,33,11/14/16,Medair,Sixth Update - 2016,4/23/14,3/21/11,3,13000,1,7,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-008,Deir El-Ahmar 008,Bekaa,Baalbek,Deir El-Ahmar,,34.10865784,36.132267,IS- Informal Settlement,Active,9,43,11/7/16,Medair,Sixth Update - 2016,4/23/14,11/21/13,7,9000,1,4,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
53311-01-009,Deir El-Ahmar 009,Bekaa,Baalbek,Deir El-Ahmar,,34.1155014,36.12960052,IS- Informal Settlement,Active,4,22,11/8/16,Medair,Sixth Update - 2016,4/23/14,2/21/12,3,8000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
53311-01-010,Deir El-Ahmar 010,Bekaa,Baalbek,Deir El-Ahmar,,34.11750031,36.12279892,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,4/23/14,11/21/12,0,0,0,0,,,,,,,
53311-01-011,Deir El-Ahmar 011,Bekaa,Baalbek,Deir El-Ahmar,,34.1128006,36.12200165,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,4/23/14,3/21/12,0,0,0,0,,,,,,,
53311-01-012,Deir El-Ahmar 012,Bekaa,Baalbek,Deir El-Ahmar,,34.11370087,36.12139893,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,4/23/14,1/21/12,0,0,0,0,,,,,,,
53311-01-013,Deir El-Ahmar 013,Bekaa,Baalbek,Deir El-Ahmar,,34.1114006,36.12129974,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,4/23/14,9/21/12,0,0,0,0,,,,,,,
53311-01-014,Deir El-Ahmar 014,Bekaa,Baalbek,Deir El-Ahmar,,34.10620117,36.11740112,IS- Informal Settlement,Active,8,37,11/14/16,Medair,Sixth Update - 2016,4/23/14,11/21/12,3,16000,1,5,Water Trucking,Burn it,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,No,Yes
53311-01-015,Deir El-Ahmar 015,Bekaa,Baalbek,Deir El-Ahmar,,34.12009811,36.13850021,IS- Informal Settlement,Active,35,173,11/16/16,Medair,Sixth Update - 2016,4/23/14,1/24/11,22,40000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,No
53311-01-016,Deir El-Ahmar 016,Bekaa,Baalbek,Deir El-Ahmar,,34.11849976,36.1371994,IS- Informal Settlement,Active,6,30,11/16/16,Medair,Sixth Update - 2016,4/22/14,12/24/12,3,6000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,No
53311-01-017,Deir El-Ahmar 017,Bekaa,Baalbek,Deir El-Ahmar,,34.08523178,36.1324501,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,4/23/14,4/9/14,0,0,0,0,,,,,,,
53311-01-018,Deir El-Ahmar 018,Bekaa,Baalbek,Deir El-Ahmar,,34.08364105,36.13005066,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,4/23/14,4/9/14,0,0,0,0,,,,,,,
53311-01-019,Deir El-Ahmar 019,Bekaa,Baalbek,Deir El-Ahmar,,34.10710144,36.13100052,IS- Informal Settlement,Less than 4,3,9,11/7/16,Medair,Sixth Update - 2016,8/18/14,8/4/14,2,10000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-020,Deir El-Ahmar 020,Bekaa,Baalbek,Deir El-Ahmar,,34.11090088,36.13290024,IS- Informal Settlement,Active,9,53,11/7/16,Medair,Sixth Update - 2016,2/12/15,12/7/14,8,10000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-021,Deir El-Ahmar 021,Bekaa,Baalbek,Deir El-Ahmar,,34.10359955,36.12149811,IS- Informal Settlement,Active,7,37,11/14/16,Medair,Sixth Update - 2016,2/1/15,10/11/14,3,4000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
53311-01-022,Deir El-Ahmar 022,Bekaa,Baalbek,Deir El-Ahmar,,34.1126709,36.13336182,IS- Informal Settlement,Active,6,21,11/14/16,Medair,Sixth Update - 2016,3/25/15,7/12/12,3,6000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-023,Deir El-Ahmar 023,Bekaa,Baalbek,Deir El-Ahmar,,34.10419846,36.13339996,IS- Informal Settlement,Less than 4,2,9,11/7/16,Medair,Sixth Update - 2016,3/25/15,3/6/13,2,8000,1,5,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,No Internet access,No,No
53311-01-024,Deir El-Ahmar 024,Bekaa,Baalbek,Deir El-Ahmar,,34.10490036,36.13180161,IS- Informal Settlement,Active,4,14,11/14/16,Medair,Sixth Update - 2016,3/25/15,8/9/14,2,11000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-025,Deir El-Ahmar 025,Bekaa,Baalbek,Deir El-Ahmar,,34.09069824,36.12480164,IS- Informal Settlement,Less than 4,2,16,11/8/16,Medair,Sixth Update - 2016,3/25/15,3/2/12,1,1000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,No Internet access,Yes,Yes
53311-01-026,Deir El-Ahmar 026,Bekaa,Baalbek,Deir El-Ahmar,,34.09009933,36.12390137,IS- Informal Settlement,Active,8,36,11/7/16,Medair,Sixth Update - 2016,3/25/15,3/19/13,10,6000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,No,No
53311-01-027,Deir El-Ahmar 027,Bekaa,Baalbek,Deir El-Ahmar,,34.09030151,36.12530136,IS- Informal Settlement,Active,6,35,11/8/16,Medair,Sixth Update - 2016,3/25/15,7/12/13,5,5000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,No Internet access,No,No
53311-01-028,Deir El-Ahmar 028,Bekaa,Baalbek,Deir El-Ahmar,,34.09000015,36.12530136,IS- Informal Settlement,Less than 4,1,15,11/7/16,Medair,Sixth Update - 2016,3/25/15,4/2/13,1,3000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,No Internet access,No,No
53311-01-029,Deir El-Ahmar 029,Bekaa,Baalbek,Deir El-Ahmar,,34.10350037,36.12950134,IS- Informal Settlement,Less than 4,3,14,11/14/16,Medair,Sixth Update - 2016,3/25/15,11/4/14,3,3000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,Wifi  / local Internet service provider,No,Yes
53311-01-030,Deir El-Ahmar 030,Bekaa,Baalbek,Deir El-Ahmar,,34.10620117,36.13299942,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,3/25/15,2/24/13,0,0,0,0,,,,,,,
53311-01-031,Deir El-Ahmar 031,Bekaa,Baalbek,Deir El-Ahmar,,34.10639954,36.13290024,IS- Informal Settlement,Active,16,93,11/7/16,Medair,Sixth Update - 2016,3/25/15,2/28/15,9,20000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-032,Deir El-Ahmar 032,Bekaa,Baalbek,Deir El-Ahmar,,34.1067009,36.1330986,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,3/25/15,3/27/12,0,0,0,0,,,,,,,
53311-01-033,Deir El-Ahmar 033,Bekaa,Baalbek,Deir El-Ahmar,,34.10559845,36.13270187,IS- Informal Settlement,Less than 4,2,10,11/7/16,Medair,Sixth Update - 2016,3/25/15,3/18/13,1,3000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
53311-01-034,Deir El-Ahmar 034,Bekaa,Baalbek,Deir El-Ahmar,,34.10969925,36.13389969,IS- Informal Settlement,Active,11,55,11/7/16,Medair,Sixth Update - 2016,3/25/15,4/1/13,6,18000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
53311-01-035,Deir El-Ahmar 035,Bekaa,Baalbek,Deir El-Ahmar,,34.10760117,36.13330078,IS- Informal Settlement,Active,5,44,11/7/16,Medair,Sixth Update - 2016,3/25/15,1/22/13,4,5000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,No Internet access,Yes,No
53311-01-036,Deir El-Ahmar 036,Bekaa,Baalbek,Deir El-Ahmar,,34.08969879,36.12639999,IS- Informal Settlement,Active,10,36,11/14/16,Medair,Sixth Update - 2016,3/29/15,3/19/14,4,9000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-037,Deir El-Ahmar 037,Bekaa,Baalbek,Deir El-Ahmar,,34.10739899,36.11660004,IS- Informal Settlement,Active,5,31,11/14/16,Medair,Sixth Update - 2016,3/29/15,8/1/14,2,4000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-038,Deir El-Ahmar 038,Bekaa,Baalbek,Deir El-Ahmar,,34.11420059,36.12440109,IS- Informal Settlement,Active,12,64,11/8/16,Medair,Sixth Update - 2016,3/29/15,4/11/14,9,13000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-039,Deir El-Ahmar 039,Bekaa,Baalbek,Deir El-Ahmar,,34.11320114,36.1257019,IS- Informal Settlement,Active,19,90,11/7/16,Medair,Sixth Update - 2016,3/29/15,2/28/15,15,22000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
53311-01-040,Deir El-Ahmar 040,Bekaa,Baalbek,Deir El-Ahmar,,34.11529922,36.12730026,IS- Informal Settlement,Active,8,38,11/7/16,Medair,Sixth Update - 2016,3/29/15,7/5/13,7,7000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
53311-01-041,Deir El-Ahmar 041,Bekaa,Baalbek,Deir El-Ahmar,,34.1291008,36.12688828,IS- Informal Settlement,Less than 4,1,8,11/8/16,Medair,Sixth Update - 2016,3/29/15,11/30/14,1,1000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
53311-01-042,Deir El-Ahmar 042,Bekaa,Baalbek,Deir El-Ahmar,,34.11460114,36.12639999,IS- Informal Settlement,Active,13,55,11/8/16,Medair,Sixth Update - 2016,3/29/15,10/18/13,9,12000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
53311-01-043,Deir El-Ahmar 043,Bekaa,Baalbek,Deir El-Ahmar,,34.08800125,36.12630081,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,3/30/15,11/30/14,0,0,0,0,,,,,,,
53311-01-044,Deir El-Ahmar 044,Bekaa,Baalbek,Deir El-Ahmar,,34.11719894,36.13010025,IS- Informal Settlement,Less than 4,3,15,11/7/16,Medair,Sixth Update - 2016,5/6/15,3/11/13,2,8000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
53311-01-045,Deir El-Ahmar 045,Bekaa,Baalbek,Deir El-Ahmar,,34.09460068,36.13639832,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,5/12/15,5/5/14,0,0,0,0,,,,,,,
53311-01-046,Deir El-Ahmar 046,Bekaa,Baalbek,Deir El-Ahmar,,34.10850143,36.13349915,IS- Informal Settlement,Active,12,49,11/7/16,Medair,Sixth Update - 2016,5/11/15,7/11/14,6,15000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,No,Yes
53311-01-047,Deir El-Ahmar 047,Bekaa,Baalbek,Deir El-Ahmar,,34.09296036,36.13479233,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,5/11/15,9/24/14,0,0,0,0,,,,,,,
53311-01-048,Deir El-Ahmar 048,Bekaa,Baalbek,Deir El-Ahmar,,34.10919952,36.13359833,IS- Informal Settlement,Less than 4,1,9,11/7/16,Medair,Sixth Update - 2016,5/11/15,5/15/14,1,9000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,No Internet access,Yes,Yes
53311-01-049,Deir El-Ahmar 049,Bekaa,Baalbek,Deir El-Ahmar,,34.11240005,36.13349915,IS- Informal Settlement,Active,11,44,11/14/16,Medair,Sixth Update - 2016,5/11/15,8/11/14,9,16000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-050,Deir El-Ahmar 050,Bekaa,Baalbek,Deir El-Ahmar,,34.11000061,36.1371994,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,5/11/15,5/15/14,0,0,0,0,,,,,,,
53311-01-051,Deir El-Ahmar 051,Bekaa,Baalbek,Deir El-Ahmar,,34.11465073,36.13478851,IS- Informal Settlement,Active,4,15,11/14/16,Medair,Sixth Update - 2016,5/11/15,4/27/14,2,4000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
53311-01-052,Deir El-Ahmar 052,Bekaa,Baalbek,Deir El-Ahmar,,34.10520172,36.13209915,IS- Informal Settlement,Active,5,20,11/14/16,Medair,Sixth Update - 2016,5/11/15,5/4/14,2,6000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-053,Deir El-Ahmar 053,Bekaa,Baalbek,Deir El-Ahmar,,34.11500168,36.13420105,IS- Informal Settlement,Active,5,18,11/14/16,Medair,Sixth Update - 2016,5/11/15,9/18/14,3,8000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
53311-01-054,Deir El-Ahmar 054,Bekaa,Baalbek,Deir El-Ahmar,,34.10770035,36.11669922,IS- Informal Settlement,Less than 4,2,6,11/14/16,Medair,Sixth Update - 2016,5/11/15,4/24/13,1,7000,1,7,Borehole,Burn it,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
53311-01-055,Deir El-Ahmar 055,Bekaa,Baalbek,Deir El-Ahmar,,34.10499954,36.11849976,IS- Informal Settlement,Active,15,83,11/14/16,Medair,Sixth Update - 2016,5/11/15,7/18/13,9,11000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
53311-01-056,Deir El-Ahmar 056,Bekaa,Baalbek,Deir El-Ahmar,,34.11660004,36.12639999,IS- Informal Settlement,Active,5,35,11/7/16,Medair,Sixth Update - 2016,7/5/15,5/15/13,5,8000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
53311-01-057,Deir El-Ahmar 057,Bekaa,Baalbek,Deir El-Ahmar,,34.11169815,36.11989975,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,7/5/15,5/4/15,0,0,0,0,,,,,,,
53311-01-058,Deir El-Ahmar 058,Bekaa,Baalbek,Deir El-Ahmar,,34.11270142,36.12360001,IS- Informal Settlement,Active,5,30,11/8/16,Medair,Sixth Update - 2016,7/5/15,5/11/14,5,5000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
53311-01-059,Deir El-Ahmar 059,Bekaa,Baalbek,Deir El-Ahmar,,34.10229874,36.13579941,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,7/7/15,5/15/15,0,0,0,0,,,,,,,
53311-01-060,Deir El-Ahmar 060,Bekaa,Baalbek,Deir El-Ahmar,,34.12110138,36.13249969,IS- Informal Settlement,Less than 4,2,13,11/16/16,Medair,Sixth Update - 2016,7/9/15,4/6/15,2,2000,0,0,Borehole,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-061,Deir El-Ahmar 061,Bekaa,Baalbek,Deir El-Ahmar,,34.11029816,36.13869858,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,7/15/15,6/14/14,0,0,0,0,,,,,,,
53311-01-062,Deir El-Ahmar 062,Bekaa,Baalbek,Deir El-Ahmar,,34.12559891,36.1405983,IS- Informal Settlement,Active,4,19,11/8/16,Medair,Sixth Update - 2016,7/15/15,5/31/15,4,5000,2,8,Water Trucking,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,No,No
53311-01-063,Deir El-Ahmar 063,Bekaa,Baalbek,Deir El-Ahmar,,34.12559891,36.14350128,IS- Informal Settlement,Less than 4,2,13,11/8/16,Medair,Sixth Update - 2016,7/16/15,5/15/14,2,4000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
53311-01-064,Deir El-Ahmar 064,Bekaa,Baalbek,Deir El-Ahmar,,34.11650085,36.14289856,IS- Informal Settlement,Less than 4,1,5,11/16/16,Medair,Sixth Update - 2016,7/15/15,4/2/15,0,1000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
53311-01-065,Deir El-Ahmar 065,Bekaa,Baalbek,Deir El-Ahmar,,34.11970139,36.13660049,IS- Informal Settlement,Active,5,25,11/16/16,Medair,Sixth Update - 2016,7/14/15,5/4/15,3,4000,0,0,Water Trucking,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
53311-01-066,Deir El-Ahmar 066,Bekaa,Baalbek,Deir El-Ahmar,,34.09199905,36.12879944,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,5/7/16,4/11/15,0,0,0,0,,,,,,,
53311-01-067,Deir El-Ahmar 067,Bekaa,Baalbek,Deir El-Ahmar,,34.10599899,36.12480164,IS- Informal Settlement,Less than 4,2,12,11/8/16,Medair,Sixth Update - 2016,8/25/15,5/15/15,2,3000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
53311-01-068,Deir El-Ahmar 068,Bekaa,Baalbek,Deir El-Ahmar,,34.11050034,36.11470032,IS- Informal Settlement,Less than 4,1,10,11/14/16,Medair,Sixth Update - 2016,9/28/15,8/2/15,1,3000,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,Wifi  / local Internet service provider,No,No
53311-01-069,Deir El-Ahmar 069,Bekaa,Baalbek,Deir El-Ahmar,,34.11026001,36.13441467,IS- Informal Settlement,Active,36,231,11/7/16,Medair,Sixth Update - 2016,11/9/15,10/28/15,20,47000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-070,Deir El-Ahmar 070,Bekaa,Baalbek,Deir El-Ahmar,,34.08996964,36.12527084,IS- Informal Settlement,Less than 4,1,7,11/8/16,Medair,Sixth Update - 2016,11/8/15,10/9/15,1,1000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,No Internet access,Yes,Yes
53311-01-071,Deir El-Ahmar 071,Bekaa,Baalbek,Deir El-Ahmar,,34.10979843,36.13570023,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,12/6/15,11/1/15,0,0,0,0,,,,,,,
53311-01-072,Deir El-Ahmar 072,Bekaa,Baalbek,Deir El-Ahmar,,34.1086998,36.11389923,IS- Informal Settlement,Inactive,0,0,11/14/16,Medair,Sixth Update - 2016,12/15/15,12/11/15,0,0,0,0,,,,,,,
53311-01-073,Deir El-Ahmar 073,Bekaa,Baalbek,Deir El-Ahmar,,34.10626984,36.1282692,IS- Informal Settlement,Less than 4,2,9,11/7/16,Medair,Sixth Update - 2016,2/4/16,12/4/15,2,3000,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
53311-01-074,Deir El-Ahmar 074,Bekaa,Baalbek,Deir El-Ahmar,,34.1228981,36.1391983,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,2/3/16,1/14/16,0,0,0,0,,,,,,,
53311-01-075,Deir El-Ahmar 075,Bekaa,Baalbek,Deir El-Ahmar,,34.13800049,36.15459824,IS- Informal Settlement,Active,5,28,11/8/16,Medair,Sixth Update - 2016,2/4/16,11/4/15,2,4000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,No Internet access,No,No
53311-01-076,Deir El-Ahmar 076,Bekaa,Baalbek,Deir El-Ahmar,,34.13650131,36.1590004,IS- Informal Settlement,Less than 4,1,8,11/8/16,Medair,Sixth Update - 2016,2/3/16,10/11/15,0,1000,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,No Internet access,No,No
53311-01-077,Deir El-Ahmar 077,Bekaa,Baalbek,Deir El-Ahmar,,34.10660172,36.13330078,IS- Informal Settlement,Less than 4,3,24,11/7/16,Medair,Sixth Update - 2016,2/9/16,1/5/16,2,4000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,No Internet access,Yes,Yes
53311-01-078,Deir El-Ahmar 078,Bekaa,Baalbek,Deir El-Ahmar,,34.11489868,36.12590027,IS- Informal Settlement,Active,5,21,11/8/16,Medair,Sixth Update - 2016,4/18/16,1/31/16,3,14000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-079,Deir El-Ahmar 079,Bekaa,Baalbek,Deir El-Ahmar,,34.11740112,36.14210129,IS- Informal Settlement,Active,7,26,11/16/16,Medair,Sixth Update - 2016,4/18/16,2/1/16,3,7000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,No
53311-01-080,Deir El-Ahmar 080,Bekaa,Baalbek,Deir El-Ahmar,,34.10900116,36.13460159,IS- Informal Settlement,Active,16,66,11/7/16,Medair,Sixth Update - 2016,4/18/16,1/4/16,8,23000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
53311-01-081,Deir El-Ahmar 081,Bekaa,Baalbek,Deir El-Ahmar,,34.10829926,36.13539886,IS- Informal Settlement,Active,18,95,11/7/16,Medair,Sixth Update - 2016,4/18/16,3/27/16,10,29500,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,No Internet access,No,No
53311-01-082,Deir El-Ahmar 082,Bekaa,Baalbek,Deir El-Ahmar,,34.11209869,36.12929916,IS- Informal Settlement,Active,6,31,11/8/16,Medair,Sixth Update - 2016,4/18/16,3/19/16,3,10000,0,0,Water Trucking,Municipality Collection,Municipality sewer network / treated,Verbal,Wifi  / local Internet service provider,Yes,Yes
53311-01-083,Deir El-Ahmar 083,Bekaa,Baalbek,Deir El-Ahmar,,34.09270096,36.13529968,IS- Informal Settlement,Inactive,0,0,11/7/16,Medair,Sixth Update - 2016,4/24/16,3/25/16,0,0,0,0,,,,,,,
53311-01-084,Deir El-Ahmar 084,Bekaa,Baalbek,Deir El-Ahmar,,34.11209869,36.13710022,IS- Informal Settlement,Active,5,32,11/16/16,Medair,Sixth Update - 2016,4/25/16,3/15/16,3,7000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,No
53311-01-085,Deir El-Ahmar 085,Bekaa,Baalbek,Deir El-Ahmar,,34.09231949,36.12892151,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,6/14/16,6/2/16,0,0,0,0,,,,,,,
53311-01-086,Deir El-Ahmar 086,Bekaa,Baalbek,Deir El-Ahmar,,34.13901138,36.15550995,IS- Informal Settlement,Less than 4,1,6,11/8/16,Medair,Sixth Update - 2016,9/21/16,9/21/16,0,2000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,No Internet access,No,No
